subject,timepoint,event,region,signal
s13,18,stim,parietal,-0.017551582
s5,14,stim,parietal,-0.080882932
s12,18,stim,parietal,-0.081033019
s11,18,stim,parietal,-0.04613439
s10,18,stim,parietal,-0.037970203
s9,18,stim,parietal,-0.103513096
s8,18,stim,parietal,-0.064408195
s7,18,stim,parietal,-0.060526202
s6,18,stim,parietal,-0.007028561
s5,18,stim,parietal,-0.040556855
s4,18,stim,parietal,-0.0488122
s3,18,stim,parietal,-0.047148146
s2,18,stim,parietal,-0.086622959
s1,18,stim,parietal,-0.046659046
s0,18,stim,parietal,-0.075569976
s13,17,stim,parietal,-0.008264625
s12,17,stim,parietal,-0.08851175
s7,9,stim,parietal,0.058896545
s10,17,stim,parietal,-0.016846517
s9,17,stim,parietal,-0.121573756
s8,17,stim,parietal,-0.076287121
s7,17,stim,parietal,-0.043812021
s6,17,stim,parietal,-0.014746389
s5,17,stim,parietal,-0.056682061
s4,17,stim,parietal,-0.044581901
s3,17,stim,parietal,-0.053514068
s2,17,stim,parietal,-0.0772924
s1,17,stim,parietal,-0.038020579
s0,17,stim,parietal,-0.071300385
s13,16,stim,parietal,-0.002856294
s12,16,stim,parietal,-0.089943363
s11,16,stim,parietal,-0.049587036
s10,16,stim,parietal,-0.013566318
s9,16,stim,parietal,-0.131640691
s8,16,stim,parietal,-0.093024311
s7,16,stim,parietal,-0.021897158
s8,9,stim,parietal,0.170226886
s5,16,stim,parietal,-0.064137842
s4,16,stim,parietal,-0.047433168
s3,16,stim,parietal,-0.071022402
s2,16,stim,parietal,-0.064998169
s1,16,stim,parietal,-0.061356031
s0,16,stim,parietal,-0.057715067
s13,15,stim,parietal,-0.010971463
s12,15,stim,parietal,-0.080697963
s11,15,stim,parietal,-0.072112194
s10,15,stim,parietal,-0.028809305
s9,15,stim,parietal,-0.134828403
s8,15,stim,parietal,-0.112577597
s7,15,stim,parietal,-0.009383129
s6,15,stim,parietal,-0.068720225
s5,15,stim,parietal,-0.070561538
s4,15,stim,parietal,-0.056031053
s3,15,stim,parietal,-0.090735182
s2,15,stim,parietal,-0.055461857
s1,15,stim,parietal,-0.110742322
s0,15,stim,parietal,-0.053078665
s13,14,stim,parietal,-0.033713389
s12,14,stim,parietal,-0.068297337
s11,14,stim,parietal,-0.11446883
s10,14,stim,parietal,-0.052287724
s9,14,stim,parietal,-0.130266598
s8,14,stim,parietal,-0.12844753
s7,14,stim,parietal,-0.015139838
s6,14,stim,parietal,-0.098844634
s11,17,stim,parietal,-0.041960489
s4,14,stim,parietal,-0.063990407
s0,0,stim,frontal,-0.021452459
s3,14,stim,parietal,-0.110040788
s1,14,stim,parietal,-0.169311681
s0,14,stim,parietal,-0.052418752
s13,13,stim,parietal,-0.068637474
s12,13,stim,parietal,-0.056306338
s11,13,stim,parietal,-0.157834187
s10,13,stim,parietal,-0.073892349
s9,13,stim,parietal,-0.119383455
s8,13,stim,parietal,-0.123949693
s7,13,stim,parietal,-0.030026322
s6,13,stim,parietal,-0.133170668
s5,13,stim,parietal,-0.094970705
s4,13,stim,parietal,-0.074759867
s3,13,stim,parietal,-0.116551717
s2,13,stim,parietal,-0.052655737
s1,13,stim,parietal,-0.224351323
s1,0,stim,parietal,-0.064454005
s13,12,stim,parietal,-0.100984175
s12,12,stim,parietal,-0.052295305
s11,12,stim,parietal,-0.178509702
s10,12,stim,parietal,-0.087232414
s9,12,stim,parietal,-0.097788996
s8,12,stim,parietal,-0.092510849
s7,12,stim,parietal,-0.040385243
s6,12,stim,parietal,-0.150693428
s5,12,stim,parietal,-0.110496369
s4,12,stim,parietal,-0.090036052
s3,12,stim,parietal,-0.091300951
s2,12,stim,parietal,-0.056376647
s1,12,stim,parietal,-0.25548586
s0,12,stim,parietal,-0.052911483
s13,11,stim,parietal,-0.112575412
s12,11,stim,parietal,-0.056628448
s11,11,stim,parietal,-0.150709343
s10,11,stim,parietal,-0.078080284
s9,11,stim,parietal,-0.072241226
s8,11,stim,parietal,-0.028024623
s7,11,stim,parietal,-0.030991181
s6,11,stim,parietal,-0.134795423
s5,11,stim,parietal,-0.120694931
s4,11,stim,parietal,-0.128546543
s3,11,stim,parietal,-0.023273733
s2,11,stim,parietal,-0.073416817
s1,11,stim,parietal,-0.238473764
s0,11,stim,parietal,-0.051469472
s13,10,stim,parietal,-0.07450261
s12,10,stim,parietal,-0.066970019
s11,10,stim,parietal,-0.072780477
s10,10,stim,parietal,-0.04170231
s9,10,stim,parietal,-0.032379638
s8,10,stim,parietal,0.06519751
s7,10,stim,parietal,0.001648491
s6,10,stim,parietal,-0.075433389
s5,10,stim,parietal,-0.114761918
s4,10,stim,parietal,-0.152652462
s3,10,stim,parietal,0.089231479
s2,10,stim,parietal,-0.087687681
s1,10,stim,parietal,-0.133040993
s0,10,stim,parietal,-0.047914973
s13,9,stim,parietal,0.013245335
s12,9,stim,parietal,-0.062335021
s11,9,stim,parietal,0.045418531
s10,9,stim,parietal,0.031006447
s9,9,stim,parietal,0.029052962
s2,14,stim,parietal,-0.05287453
s6,9,stim,parietal,0.009017404
s7,3,stim,parietal,0.009547931
s0,7,stim,parietal,0.074342753
s3,9,stim,parietal,0.221716139
s2,9,stim,parietal,-0.082613396
s1,9,stim,parietal,0.057891764
s0,9,stim,parietal,-0.035586997
s13,8,stim,parietal,0.130991047
s12,8,stim,parietal,-0.02757748
s11,8,stim,parietal,0.169673297
s10,8,stim,parietal,0.136290737
s9,8,stim,parietal,0.121580533
s8,8,stim,parietal,0.263207488
s7,8,stim,parietal,0.133175594
s6,8,stim,parietal,0.112147205
s5,8,stim,parietal,0.006805135
s4,8,stim,parietal,0.017534786
s3,8,stim,parietal,0.337143298
s6,2,stim,parietal,-0.030780608
s1,8,stim,parietal,0.294639157
s0,8,stim,parietal,0.00510065
s13,7,stim,parietal,0.240747074
s12,7,stim,parietal,0.050172678
s11,7,stim,parietal,0.254042321
s10,7,stim,parietal,0.24564176
s9,7,stim,parietal,0.238230816
s8,7,stim,parietal,0.312811034
s7,7,stim,parietal,0.198789643
s6,7,stim,parietal,0.21447957
s5,7,stim,parietal,0.119176862
s4,7,stim,parietal,0.220448525
s3,7,stim,parietal,0.390465734
s2,7,stim,parietal,0.045743627
s1,7,stim,parietal,0.494786865
s4,9,stim,parietal,-0.114241982
s13,6,stim,parietal,0.291884319
s12,5,stim,parietal,0.248138009
s2,6,stim,frontal,0.101050432
s1,6,stim,parietal,0.564984721
s2,6,stim,parietal,0.14343612
s3,6,stim,parietal,0.340479918
s4,6,stim,parietal,0.405840057
s5,6,stim,parietal,0.221492883
s12,6,stim,parietal,0.157799926
s7,6,stim,parietal,0.218061194
s8,6,stim,parietal,0.298009042
s9,6,stim,parietal,0.345918074
s10,6,stim,parietal,0.296960233
s11,6,stim,parietal,0.262771101
s0,6,stim,parietal,0.143093372
s6,6,stim,parietal,0.27095581
s13,5,stim,parietal,0.252627264
s6,5,stim,parietal,0.239175098
s11,5,stim,parietal,0.194215001
s10,5,stim,parietal,0.253871308
s9,5,stim,parietal,0.381495103
s8,5,stim,parietal,0.212854836
s7,5,stim,parietal,0.177629511
s5,5,stim,parietal,0.260057069
s4,5,stim,parietal,0.460896318
s3,5,stim,parietal,0.199188338
s2,5,stim,parietal,0.209354958
s1,5,stim,parietal,0.476055495
s0,5,stim,parietal,0.175531698
s13,4,stim,parietal,0.13621946
s12,4,stim,parietal,0.261283305
s2,8,stim,parietal,-0.037406605
s11,4,stim,parietal,0.08717517
s7,2,stim,parietal,-0.034874183
s4,2,stim,parietal,-0.02810873
s8,4,stim,parietal,0.093181364
s7,4,stim,parietal,0.093309258
s6,4,stim,parietal,0.136847472
s5,4,stim,parietal,0.208112191
s4,4,stim,parietal,0.346774672
s3,4,stim,parietal,0.027878547
s2,4,stim,parietal,0.19646103
s1,4,stim,parietal,0.287293981
s0,4,stim,parietal,0.154057883
s13,3,stim,parietal,0.008417514
s12,3,stim,parietal,0.185581486
s11,3,stim,parietal,-0.010137986
s10,3,stim,parietal,0.045838353
s9,3,stim,parietal,0.164445988
s10,4,stim,parietal,0.143985649
s8,3,stim,parietal,-0.006122807
s6,3,stim,parietal,0.027562365
s5,3,stim,parietal,0.092711731
s4,3,stim,parietal,0.141458051
s3,3,stim,parietal,-0.089707771
s2,3,stim,parietal,0.10891557
s1,3,stim,parietal,0.092220783
s0,3,stim,parietal,0.086398923
s13,2,stim,parietal,-0.062915907
s12,2,stim,parietal,0.07727721
s11,2,stim,parietal,-0.059089032
s10,2,stim,parietal,0.011751489
s9,2,stim,parietal,0.040620181
s8,2,stim,parietal,-0.049964019
s5,2,stim,parietal,-0.017499044
s3,2,stim,parietal,-0.110565263
s9,4,stim,parietal,0.307250437
s2,2,stim,parietal,0.008791375
s1,2,stim,parietal,-0.035153391
s0,2,stim,parietal,0.00964153
s13,1,stim,parietal,-0.064256453
s12,1,stim,parietal,0.010624697
s11,1,stim,parietal,-0.059354145
s10,1,stim,parietal,0.029822198
s9,1,stim,parietal,-0.012764964
s8,1,stim,parietal,-0.049531532
s7,1,stim,parietal,-0.023882622
s6,1,stim,parietal,-0.037325934
s5,1,stim,parietal,-0.063906637
s4,1,stim,parietal,-0.082174358
s3,1,stim,parietal,-0.061460354
s2,1,stim,parietal,-0.042086617
s1,1,stim,parietal,-0.074401788
s0,1,stim,parietal,-0.035735214
s13,0,stim,parietal,-0.042466603
s12,0,stim,parietal,0.003357755
s11,0,stim,parietal,-0.044633922
s10,0,stim,parietal,0.052618547
s9,0,stim,parietal,-0.018369277
s8,0,stim,parietal,-0.034339732
s7,0,stim,parietal,0.004081356
s6,0,stim,parietal,-0.023319155
s5,0,stim,parietal,-0.05122771
s4,0,stim,parietal,-0.048868505
s3,0,stim,parietal,-0.008576036
s2,0,stim,parietal,-0.034407186
s5,9,stim,parietal,-0.074842807
s0,13,stim,parietal,-0.055263681
s6,16,stim,parietal,-0.039950784
s10,4,stim,frontal,0.030044053
s11,4,stim,frontal,0.075957372
s3,0,stim,frontal,0.011056488
s4,0,stim,frontal,-0.017515502
s5,0,stim,frontal,-0.022977351
s6,0,stim,frontal,-0.007946607
s7,0,stim,frontal,-0.020863777
s8,0,stim,frontal,0.018851894
s9,0,stim,frontal,0.002887902
s10,0,stim,frontal,0.074398996
s11,0,stim,frontal,-0.028422664
s12,0,stim,frontal,0.038392461
s13,0,stim,frontal,-0.038266156
s0,1,stim,frontal,-0.021053629
s1,1,stim,frontal,-0.060272637
s2,1,stim,frontal,-0.036433
s3,1,stim,frontal,-0.010261741
s1,0,stim,frontal,-0.04604859
s5,1,stim,frontal,-0.027178902
s6,1,stim,frontal,0.009566652
s7,1,stim,frontal,-0.023525579
s8,1,stim,frontal,-0.009231504
s9,1,stim,frontal,-0.005616426
s10,1,stim,frontal,0.0635584
s11,1,stim,frontal,-0.046234615
s12,1,stim,frontal,0.044769577
s13,1,stim,frontal,-0.046492563
s0,2,stim,frontal,-0.009037637
s1,2,stim,frontal,-0.037519811
s2,2,stim,frontal,-0.010743937
s3,2,stim,frontal,-0.057306293
s4,2,stim,frontal,-0.022762959
s5,2,stim,frontal,0.003835642
s6,2,stim,frontal,0.025363155
s7,2,stim,frontal,0.001795109
s8,2,stim,frontal,-0.042531904
s9,2,stim,frontal,-0.014441526
s10,2,stim,frontal,0.030891722
s11,2,stim,frontal,-0.055153659
s12,2,stim,frontal,0.075066613
s13,2,stim,frontal,-0.024230703
s0,3,stim,frontal,0.0267267
s1,3,stim,frontal,0.057598374
s2,3,stim,frontal,0.057460967
s3,3,stim,frontal,-0.075213356
s4,3,stim,frontal,0.120453728
s5,3,stim,frontal,0.086629405
s6,3,stim,frontal,0.061119785
s7,3,stim,frontal,0.0640016
s8,3,stim,frontal,-0.047032247
s9,3,stim,frontal,0.002063399
s10,3,stim,frontal,0.009598701
s11,3,stim,frontal,-0.014987847
s12,3,stim,frontal,0.112746171
s13,3,stim,frontal,0.048317678
s0,4,stim,frontal,0.070557529
s1,4,stim,frontal,0.202122689
s2,4,stim,frontal,0.128158046
s3,4,stim,frontal,-0.001834809
s4,4,stim,frontal,0.324264822
s5,4,stim,frontal,0.186011727
s6,4,stim,frontal,0.134851245
s7,4,stim,frontal,0.133497394
s8,4,stim,frontal,-0.012083166
s9,4,stim,frontal,0.04063622
s4,1,stim,frontal,-0.050523021
s12,4,stim,frontal,0.123049682
s9,9,stim,frontal,-0.096564695
s13,4,stim,frontal,0.147685336
s1,5,stim,frontal,0.315859621
s2,5,stim,frontal,0.149879209
s3,5,stim,frontal,0.147985329
s4,5,stim,frontal,0.455574819
s5,5,stim,frontal,0.236025402
s6,5,stim,frontal,0.213484053
s7,5,stim,frontal,0.176160707
s8,5,stim,frontal,0.042811448
s9,5,stim,frontal,0.05895264
s10,5,stim,frontal,0.072731032
s11,5,stim,frontal,0.160734983
s12,5,stim,frontal,0.091026942
s13,5,stim,frontal,0.211232397
s0,6,stim,frontal,0.059436142
s1,6,stim,frontal,0.321334601
s0,5,stim,frontal,0.085386997
s3,6,stim,frontal,0.28222158
s4,6,stim,frontal,0.410660973
s5,6,stim,frontal,0.196370293
s6,6,stim,frontal,0.246783998
s7,6,stim,frontal,0.171116812
s8,6,stim,frontal,0.086119775
s9,6,stim,frontal,0.032806225
s10,6,stim,frontal,0.092244953
s11,6,stim,frontal,0.176109444
s12,6,stim,frontal,0.032758005
s13,6,stim,frontal,0.195928278
s0,7,stim,frontal,0.007993261
s1,7,stim,frontal,0.204943331
s2,0,stim,frontal,-0.016985211
s3,7,stim,frontal,0.319009014
s4,7,stim,frontal,0.218513616
s5,7,stim,frontal,0.088224947
s6,7,stim,frontal,0.203884104
s7,7,stim,frontal,0.126777699
s8,7,stim,frontal,0.102758653
s9,7,stim,frontal,-0.018216159
s10,7,stim,frontal,0.071110216
s11,7,stim,frontal,0.100876282
s12,7,stim,frontal,-0.01559744
s13,7,stim,frontal,0.114907371
s0,8,stim,frontal,-0.042792906
s1,8,stim,frontal,0.036684871
s2,8,stim,frontal,-0.05730235
s3,8,stim,frontal,0.248302107
s4,8,stim,frontal,0.010962922
s5,8,stim,frontal,-0.025743207
s6,8,stim,frontal,0.108753021
s7,8,stim,frontal,0.066534887
s8,8,stim,frontal,0.087506844
s9,8,stim,frontal,-0.067074037
s10,8,stim,frontal,0.028299193
s11,8,stim,frontal,-0.017346933
s12,8,stim,frontal,-0.041571669
s13,8,stim,frontal,0.013571184
s0,9,stim,frontal,-0.070101803
s1,9,stim,frontal,-0.092767649
s2,9,stim,frontal,-0.086100161
s3,9,stim,frontal,0.127788732
s4,9,stim,frontal,-0.108728887
s5,9,stim,frontal,-0.097376276
s6,9,stim,frontal,0.008616637
s7,9,stim,frontal,0.012132384
s8,9,stim,frontal,0.046826844
s2,7,stim,frontal,0.014763032
s10,9,stim,frontal,-0.002733814
s12,10,stim,frontal,-0.043594006
s12,9,stim,frontal,-0.047257277
s13,9,stim,frontal,-0.068050249
s0,10,stim,frontal,-0.060432989
s1,10,stim,frontal,-0.14330215
s2,10,stim,frontal,-0.075935523
s3,10,stim,frontal,0.012525122
s4,10,stim,frontal,-0.132442084
s5,10,stim,frontal,-0.118450928
s6,10,stim,frontal,-0.075961231
s7,10,stim,frontal,-0.024942025
s8,10,stim,frontal,-0.008699816
s9,10,stim,frontal,-0.101177843
s10,10,stim,frontal,-0.015356427
s11,10,stim,frontal,-0.159771972
s13,10,stim,frontal,-0.110284644
s6,14,stim,frontal,-0.088511378
s0,11,stim,frontal,-0.026104061
s1,11,stim,frontal,-0.13364655
s2,11,stim,frontal,-0.049446354
s3,11,stim,frontal,-0.067520049
s4,11,stim,frontal,-0.107947321
s5,11,stim,frontal,-0.103936817
s6,11,stim,frontal,-0.138152435
s7,11,stim,frontal,-0.042578776
s8,11,stim,frontal,-0.060692044
s9,11,stim,frontal,-0.092758233
s10,11,stim,frontal,-0.020110181
s11,11,stim,frontal,-0.154563748
s12,11,stim,frontal,-0.035377499
s0,12,stim,frontal,0.00306715
s13,11,stim,frontal,-0.114215411
s1,12,stim,frontal,-0.093410708
s4,14,stim,frontal,-0.070692136
s2,12,stim,frontal,-0.027012442
s9,15,stim,frontal,-0.048007468
s4,12,stim,frontal,-0.080443809
s5,12,stim,frontal,-0.079538052
s6,12,stim,frontal,-0.155545872
s7,12,stim,frontal,-0.042475087
s8,12,stim,frontal,-0.096825297
s9,12,stim,frontal,-0.083662754
s10,12,stim,frontal,-0.019424671
s11,12,stim,frontal,-0.11536878
s12,12,stim,frontal,-0.032615656
s13,12,stim,frontal,-0.090087424
s0,13,stim,frontal,0.003329826
s1,13,stim,frontal,-0.052714157
s2,13,stim,frontal,-0.016092268
s3,13,stim,frontal,-0.107386193
s4,13,stim,frontal,-0.071226815
s5,13,stim,frontal,-0.054613971
s6,13,stim,frontal,-0.132768266
s7,13,stim,frontal,-0.026164598
s8,13,stim,frontal,-0.109370504
s9,13,stim,frontal,-0.075483806
s10,13,stim,frontal,-0.013740169
s11,13,stim,frontal,-0.065244687
s12,13,stim,frontal,-0.032662743
s13,13,stim,frontal,-0.055233994
s0,14,stim,frontal,-0.002699705
s1,14,stim,frontal,-0.021003326
s2,14,stim,frontal,-0.010428949
s3,14,stim,frontal,-0.090362564
s5,14,stim,frontal,-0.037696315
s3,12,stim,frontal,-0.103477352
s7,14,stim,frontal,-0.000925177
s10,16,stim,frontal,-0.003057015
s9,14,stim,frontal,-0.061817137
s10,14,stim,frontal,-0.007162023
s11,14,stim,frontal,-0.029557811
s12,14,stim,frontal,-0.039786589
s13,14,stim,frontal,-0.022505926
s0,15,stim,frontal,-0.011966018
s1,15,stim,frontal,-0.005134113
s2,15,stim,frontal,-0.013845702
s3,15,stim,frontal,-0.063136252
s4,15,stim,frontal,-0.070936897
s5,15,stim,frontal,-0.028026992
s6,15,stim,frontal,-0.040139364
s11,9,stim,frontal,-0.114304264
s8,15,stim,frontal,-0.084824634
s10,15,stim,frontal,-0.004118037
s11,15,stim,frontal,-0.016906626
s12,15,stim,frontal,-0.049688749
s13,15,stim,frontal,-7.56E-05
s0,16,stim,frontal,-0.021399085
s1,16,stim,frontal,-0.002718787
s2,16,stim,frontal,-0.030633628
s3,16,stim,frontal,-0.034023113
s4,16,stim,frontal,-0.06593923
s5,16,stim,frontal,-0.026811782
s6,16,stim,frontal,-0.002925603
s7,16,stim,frontal,0.014300699
s8,16,stim,frontal,-0.064509588
s9,16,stim,frontal,-0.036739438
s0,17,stim,frontal,-0.039322266
s8,14,stim,frontal,-0.102197958
s7,15,stim,frontal,0.01516303
s11,16,stim,frontal,-0.020795275
s2,18,stim,frontal,-0.058470978
s12,16,stim,frontal,-0.059462022
s2,17,stim,frontal,-0.049078488
s3,17,stim,frontal,-0.014400446
s4,17,stim,frontal,-0.062505657
s5,17,stim,frontal,-0.029920709
s6,17,stim,frontal,0.038575191
s7,17,stim,frontal,0.001211811
s8,17,stim,frontal,-0.04265739
s9,17,stim,frontal,-0.030099282
s11,17,stim,frontal,-0.025345201
s12,17,stim,frontal,-0.060134362
s13,17,stim,frontal,0.023493981
s0,18,stim,frontal,-0.048429739
s1,18,stim,frontal,-0.035852428
s10,17,stim,frontal,-0.004571163
s3,18,stim,frontal,-0.010920416
s9,18,stim,frontal,-0.00995934
s1,17,stim,frontal,-0.015685861
s0,0,stim,parietal,-0.039326601
s13,18,stim,frontal,0.024425369
